metric,lower_95,median,upper_95,iterations,method
accuracy,0.6095238095238096,0.6761904761904762,0.7380952380952381,1000,stratified nonparametric bootstrap
precision,0.6692279411764706,0.7213114754098361,0.7786924653215637,1000,stratified nonparametric bootstrap
recall,0.639344262295082,0.7213114754098361,0.7950819672131147,1000,stratified nonparametric bootstrap
f1,0.6608840154925155,0.7218654158397979,0.7747237234814874,1000,stratified nonparametric bootstrap
roc_auc,0.6566575074515647,0.7267837183308494,0.7905318554396423,1000,stratified nonparametric bootstrap
brier_score,0.1862308897114437,0.20502930546557552,0.2255333425848507,1000,stratified nonparametric bootstrap
