fold,train_rows,validation_rows,train_positive_rate,validation_positive_rate,profile_overlap_count
1,673,168,0.5809806835066865,0.5833333333333334,0
2,672,169,0.5818452380952381,0.5798816568047337,0
3,672,169,0.5818452380952381,0.5798816568047337,0
4,674,167,0.5816023738872403,0.5808383233532934,0
5,673,168,0.5809806835066865,0.5833333333333334,0
