n,mean_predicted_probability,observed_positive_rate,minimum_probability,maximum_probability,absolute_calibration_error,weighted_error
27,0.18275356303774348,0.1111111111111111,0.10234310723676789,0.22636959519326047,0.07164245192663238,0.00921117239056702
26,0.34031011995509597,0.4230769230769231,0.2594743786586311,0.3886089592726909,0.0827668031218271,0.010247318481750022
26,0.43633980958026775,0.5769230769230769,0.4034761734068824,0.4731148365190704,0.14058326734280913,0.017405547385300178
26,0.5201638593305542,0.5769230769230769,0.4750676791942155,0.5529597743772514,0.05675921759252267,0.007027331701931379
26,0.5927400033808807,0.6923076923076923,0.5555448084033494,0.6115201422867421,0.09956768892681156,0.012327428152843337
26,0.6381959184700088,0.7692307692307693,0.6123753691562371,0.657676726431909,0.1310348507607605,0.016223362475141775
26,0.6937029312231172,0.6923076923076923,0.6639588134005021,0.7209008243762791,0.0013952389154249234,0.00017274386571927624
27,0.7643967540029166,0.8148148148148148,0.722290990352311,0.8141223800114425,0.05041806081189815,0.006482322104386904
