model_key,model,complexity_rank,parameter_combinations,best_parameters,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_accuracy,cv_mean_precision,cv_mean_recall,cv_mean_f1,cv_mean_brier,train_mean_roc_auc,train_cv_roc_auc_gap,within_one_se_of_best_auc,selected
dummy,Dummy majority baseline,0,1,{},0.5,0.0,0.5814536607258856,0.5814536607258856,1.0,0.7353394978764582,0.24336669667988037,0.5,0.0,False,False
logistic_regression,Logistic Regression,1,6,"{""model__C"": 0.05, ""model__class_weight"": ""balanced""}",0.7096561993462986,0.042523090296173696,0.6575321883705116,0.712901973257132,0.6891226593730275,0.700078209447593,0.21411216300989708,0.7593534029701504,0.04969720362385177,True,True
decision_tree,Decision Tree,2,18,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 30}",0.6867961080177679,0.026197335728228445,0.6432886551495487,0.6585182846526252,0.8140332421628445,0.723257484481996,0.22097258662151367,0.7258399408301481,0.03904383281238022,False,False
random_forest,Random Forest,3,12,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}",0.7158330373573231,0.04710355353609574,0.6789471774962332,0.6773511279248984,0.8569114243635598,0.7562474103072265,0.20802713684630642,0.9206804307443329,0.20484739338700986,True,False
gradient_boosting,Gradient Boosting,3,16,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 100}",0.7115673485474174,0.03213480143244005,0.6634989108849082,0.6767259785165314,0.8078476751525352,0.7359793631592482,0.21151450873759892,0.8063120672796954,0.09474471873227797,True,False
