model_key,model,parameters,rank_roc_auc,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_f1,cv_mean_brier,train_mean_roc_auc,train_cv_roc_auc_gap
dummy,Dummy majority baseline,{},1,0.5,0.0,0.7353394978764582,0.24336669667988037,0.5,0.0
logistic_regression,Logistic Regression,"{""model__C"": 0.05, ""model__class_weight"": null}",2,0.7092239995834463,0.04227923362598024,0.7403047201207192,0.2092695395085756,0.7586093102935585,0.04938531071011221
logistic_regression,Logistic Regression,"{""model__C"": 0.05, ""model__class_weight"": ""balanced""}",1,0.7096561993462986,0.042523090296173696,0.700078209447593,0.21411216300989708,0.7593534029701504,0.04969720362385177
logistic_regression,Logistic Regression,"{""model__C"": 0.2, ""model__class_weight"": null}",3,0.7071468152487406,0.038258645097446746,0.7286993689207656,0.21083329271124568,0.7682682443008246,0.061121429052084064
logistic_regression,Logistic Regression,"{""model__C"": 0.2, ""model__class_weight"": ""balanced""}",4,0.7066210517893814,0.03864412590330637,0.7030310917147868,0.21592081283996967,0.7689543500216512,0.06233329823226985
logistic_regression,Logistic Regression,"{""model__C"": 1.0, ""model__class_weight"": null}",5,0.6979978376465399,0.03622544215773626,0.729763743505259,0.21557297258114344,0.7742266337436241,0.07622879609708422
logistic_regression,Logistic Regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",6,0.697958747646832,0.037078914856202246,0.696771681092704,0.2207896145534904,0.774722065850382,0.07676331820354998
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5}",3,0.6864897294560548,0.029840083619817676,0.7249534732973026,0.22079701715686584,0.7294122677530888,0.04292253829703396
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 15}",5,0.6841834427562642,0.032398792676877015,0.725838360422539,0.22090712281091998,0.7268598482845062,0.042676405528242034
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 30}",1,0.6867961080177679,0.026197335728228445,0.723257484481996,0.22097258662151367,0.7258399408301481,0.03904383281238022
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 5}",13,0.6621121257314557,0.028169353747827076,0.7159770280425338,0.2340227890750867,0.785477024633155,0.12336489890169933
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 15}",12,0.6667949057695637,0.038528523894744,0.713200533562968,0.2305033505096623,0.7670673113267416,0.10027240555717787
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 30}",7,0.6814348980480822,0.041388533335507995,0.7298257737937297,0.22368554761330395,0.7516098770485509,0.07017497900046865
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 5}",17,0.6494889026987509,0.04597570679546441,0.6968358703876972,0.2555535123962204,0.8514868630037997,0.2019979603050488
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 15}",16,0.6542089778307971,0.05924240914823136,0.7048063788059802,0.2373884239563313,0.7901671622408662,0.13595818441006913
decision_tree,Decision Tree,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 30}",9,0.6769312212428791,0.03849905460810796,0.7346504485589576,0.2239605671315915,0.7551608754302646,0.07822965418738548
decision_tree,Decision Tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 5}",3,0.6864897294560548,0.029840083619817676,0.7068196464611045,0.2242199711282359,0.7294122677530888,0.04292253829703396
