fold,train_rows,validation_rows,train_positive_rate,validation_positive_rate,profile_overlap_count
1,672,168,0.5104166666666666,0.5119047619047619,0
2,672,168,0.5104166666666666,0.5119047619047619,0
3,673,167,0.5111441307578009,0.5089820359281437,0
4,671,169,0.511177347242921,0.5088757396449705,0
5,672,168,0.5104166666666666,0.5119047619047619,0
