metric,lower_95,median,upper_95,iterations,method
accuracy,0.6445497630331753,0.7061611374407583,0.7630331753554502,1000,stratified nonparametric bootstrap
precision,0.653455243483532,0.7157894736842105,0.7812732054455446,1000,stratified nonparametric bootstrap
recall,0.6201388888888889,0.7037037037037037,0.7870370370370371,1000,stratified nonparametric bootstrap
f1,0.6421845248398823,0.7096774193548387,0.7706422018348624,1000,stratified nonparametric bootstrap
roc_auc,0.6736762855088096,0.7453478964401294,0.8052173229054297,1000,stratified nonparametric bootstrap
brier_score,0.18221975585889422,0.20412432495150046,0.2287987771312532,1000,stratified nonparametric bootstrap
