n,mean_predicted_probability,observed_positive_rate,minimum_probability,maximum_probability,absolute_calibration_error,weighted_error
27,0.20120686431077944,0.2962962962962963,0.12625001287694299,0.2792696228728344,0.09508943198551684,0.012167842007625376
26,0.3000498943811666,0.23076923076923078,0.28485360915664276,0.32750818866254666,0.0692806636119358,0.008536953810001567
26,0.38028066766605045,0.38461538461538464,0.33647170145675676,0.42127657462938,0.004334716949334183,0.0005341357378326481
28,0.46911123305306796,0.35714285714285715,0.4237863481942325,0.5061847812607466,0.1119683759102108,0.014858362680027975
25,0.5595299175116628,0.52,0.510473262318092,0.6231337156256562,0.03952991751166279,0.004683639515599857
28,0.6742858630401786,0.6785714285714286,0.6232047062804908,0.7100005164018701,0.004285565531250035,0.0005687006392180141
26,0.7588025145280818,0.7692307692307693,0.7161129019036953,0.7860721183830381,0.01042825470268749,0.0012849982098098328
25,0.8387503219173473,0.88,0.789876366596447,0.9241804287716795,0.041249678082652674,0.004887402616428042
