model_key,model,complexity_rank,parameter_combinations,best_parameters,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_accuracy,cv_mean_precision,cv_mean_recall,cv_mean_f1,cv_mean_brier,train_mean_roc_auc,train_cv_roc_auc_gap,within_one_se_of_best_auc,selected
dummy,Dummy majority baseline,0,1,{},0.5,0.0,0.5107144122574799,0.5107144122574799,1.0,0.6761218083033739,0.24988639790844264,0.5,0.0,False,False
logistic_regression,Logistic Regression,1,6,"{""model__C"": 0.2, ""model__class_weight"": ""balanced""}",0.756408156398575,0.02256911553947695,0.6881545024912137,0.6983215529427989,0.6854719562243503,0.6894435378697665,0.20170995516434903,0.7876883866635724,0.03128023026499749,False,False
decision_tree,Decision Tree,2,18,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 30}",0.7057626549037563,0.03246351494612591,0.63089741902501,0.6405996297522283,0.6386867305061561,0.6369455190148803,0.2234465797731508,0.7604351182410273,0.05467246333727094,False,False
random_forest,Random Forest,3,12,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5}",0.7590406368726718,0.022009001248541566,0.6785242701410367,0.6887931286673512,0.6783857729138167,0.6822388879879033,0.2022284455026917,0.8576427288161679,0.09860209194349612,True,False
gradient_boosting,Gradient Boosting,3,16,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.7683395374564891,0.02402534391609971,0.6975933593506142,0.7013614640048397,0.7133515731874145,0.7052395227443476,0.1974853389552351,0.813142296806521,0.04480275935003186,True,True
