variable,raw_value,source_label,cleaned_label,mapping_basis,observed_count,used_by_model1,used_by_model2,cleaned_label_model1,cleaned_label_model2
con27,8,Nonresponse,Nonresponse,documented code,2,False,True,not used,Nonresponse
con27,9,Nonresponse,Nonresponse,documented code,0,False,True,not used,Nonresponse
con27,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,423,False,True,not used,Not applicable / skipped
con28,1,Daily,Daily,documented code,68,False,True,not used,Daily
con28,2,Weekly,Weekly,documented code,142,False,True,not used,Weekly
con28,3,Monthly,Monthly,documented code,317,False,True,not used,Monthly
con28,4,Less than once a month,Less than once a month,documented code,15,False,True,not used,Less than once a month
con28,7,Never,Never,documented code,1,False,True,not used,Never
con28,8,Nonresponse,Nonresponse,documented code,7,False,True,not used,Nonresponse
con28,9,Nonresponse,Nonresponse,documented code,0,False,True,not used,Nonresponse
con28,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,501,False,True,not used,Not applicable / skipped
con30a,1,Yes,Yes,documented code,487,False,True,not used,Yes
con30a,2,No,No,documented code,207,False,True,not used,No
con30a,8,Nonresponse,Nonresponse,documented code,1,False,True,not used,Nonresponse
con30a,9,Nonresponse,Nonresponse,documented code,2,False,True,not used,Nonresponse
con30a,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,354,False,True,not used,Not applicable / skipped
con30b,1,Yes,Yes,documented code,494,False,True,not used,Yes
con30b,2,No,No,documented code,200,False,True,not used,No
con30b,8,Nonresponse,Nonresponse,documented code,0,False,True,not used,Nonresponse
con30b,9,Nonresponse,Nonresponse,documented code,3,False,True,not used,Nonresponse
con30b,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,354,False,True,not used,Not applicable / skipped
con30c,1,Yes,Yes,documented code,554,False,True,not used,Yes
con30c,2,No,No,documented code,141,False,True,not used,No
con30c,8,Nonresponse,Nonresponse,documented code,1,False,True,not used,Nonresponse
con30c,9,Nonresponse,Nonresponse,documented code,1,False,True,not used,Nonresponse
con30c,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,354,False,True,not used,Not applicable / skipped
con30d,1,Yes,Yes,documented code,454,False,True,not used,Yes
con30d,2,No,No,documented code,240,False,True,not used,No
con30d,8,Nonresponse,Nonresponse,documented code,2,False,True,not used,Nonresponse
con30d,9,Nonresponse,Nonresponse,documented code,1,False,True,not used,Nonresponse
con30d,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,354,False,True,not used,Not applicable / skipped
con30e,1,Yes,Yes,documented code,348,False,True,not used,Yes
con30e,2,No,No,documented code,347,False,True,not used,No
con30e,8,Nonresponse,Nonresponse,documented code,2,False,True,not used,Nonresponse
con30e,9,Nonresponse,Nonresponse,documented code,0,False,True,not used,Nonresponse
con30e,<blank>,System missing / routed blank,model-specific; see feature tier,routing-aware missingness policy,354,False,True,not used,Not applicable / skipped
